"PROVINCIA","Casos Atentidos","% de feminicidios","Personas informadas","Poblacion Mujer","Población hombre","Zona","# DE CEM","# CEM comisaria","V. Psicológica","V. Física","V. Sexual","De 5-14 años","De 15 a 24 años","De 25 a 49 años","De 49 años a más"
"Ferreñafe",503,0.4,4192,"49948",47467,"Urbano",0,0,1190,1395,788,21225,15581,29733,15121
"General Sánchez Cerro",110,1.1,894,"7217",7648,"Urbano",1,0,603,618,201,2047,1573,4922,3456
"Gran Chimú",126,0.4,604,"12791",14101,"Rural",1,0,2694,2860,1498,5490,3952,8503,4591
"Grau",97,1,1852,"10652",10590,"Rural",1,0,1215,1220,376,4598,2973,6216,3898
"Huánuco",1916,2.2,13770,"149547",143850,"Urbano",0,0,1766,1816,1109,54710,55260,100967,42018
"Huaura",1221,1,6112,"113906",113779,"Urbano",1,1,14209,12787,9256,37840,38026,80076,37062
"Huaycabamba",205,2.2,1796,"8410",8141,"Rural",1,0,1766,1816,1109,3988,2810,4728,2391
"Huallaga",195,0.9,1936,"13262",14244,"Urbano",1,0,2647,2220,1346,6010,3762,9432,4222
"Huanta",1107,1.2,9638,"45647",43819,"Urbano",2,1,1680,2028,890,19251,17176,28239,12098
"Huamalíes",390,2.2,3802,"26485",25554,"Rural",1,0,1766,1816,1109,11738,8313,15161,8313
"Huamanga",2523,1.2,15343,"144611",137583,"Urbano",1,2,1680,2028,890,53816,56750,97940,35255
"Huancabamba",223,0.5,2232,"56574",54927,"Rural",1,0,3097,2523,1057,26283,16939,32418,17040
"Huancané",0,1,2410,"29775",27876,"Rural",0,0,1788,2105,652,8891,8941,16407,12624
"Huancavelica",1208,2.9,9221,"59807",55247,"Urbano",1,2,988,898,417,24398,21663,35160,16640
"Huancayo",2398,2.3,31221,"288142",257473,"Urbano",2,2,2161,2278,1370,95857,102326,189054,82942
"Huanca Sancos",120,1.2,1944,"4363",4046,"Urbano",1,0,1680,2028,890,1789,1052,2552,1673
"Huaral",1179,1,6435,"91277",92621,"Urbano",0,0,14209,12787,9256,31212,29870,66813,30089
